step,jet-train-acc,jet-validate-acc,jet-test-acc,,red-train-acc,red-validate-acc,red-test-acc,,fu-jet-train-acc,fu-jet-validate-acc,fu-jet-test-acc,,vgg-train-acc,vgg-validate-acc,vgg-test-acc,,fu-red-train-acc,fu-red-validate-acc,fu-red-test-acc,,3-jet-train-acc,3-jet-validate-acc,3-jet-test-acc
12000,0.719317007,0.739447724,0.744132454,,0.61420849,0.641613183,0.646806134,,0.673369921,0.754781616,0.754504711,,0.629469837,0.728628617,0.734454062,,0.596392106,0.700644911,0.704272528,,0.660629746,0.756142503,0.764183631
13000,0.720571136,0.738792192,0.743335422,,0.615432855,0.642292591,0.647451876,,0.67563362,0.755120142,0.754826304,,0.628769314,0.729477404,0.73527744,,0.596992883,0.700642468,0.704319613,,0.657899311,0.751738569,0.759960692
14000,0.722302543,0.743355519,0.747562437,,0.617295027,0.643977154,0.649045769,,0.677398099,0.754548337,0.754235751,,0.628999438,0.728959051,0.734851815,,0.597319571,0.701889073,0.705574797,,0.65134423,0.748612717,0.756848355
15000,0.724139477,0.743453315,0.748036247,,0.61859846,0.642019219,0.647138485,,0.679271225,0.759298685,0.758982618,,0.628730422,0.729997655,0.735892057,,0.598326698,0.700997771,0.704717724,,0.646533338,0.744459794,0.752600751
16000,0.725347427,0.744181114,0.748530516,,0.620139879,0.645496269,0.650440433,,0.680984644,0.759312048,0.758949857,,0.62937437,0.729435963,0.735358935,,0.598590718,0.701497519,0.705230958,,0.641006855,0.739187345,0.747002321
17000,0.727452791,0.74855412,0.752800218,,0.620714798,0.648127354,0.653037975,,0.682472753,0.760831275,0.760411319,,0.630309781,0.730281215,0.736203639,,0.599468175,0.702773655,0.706536539,,0.635638654,0.73567651,0.742829203
18000,0.729216856,0.748354404,0.752695366,,0.622491457,0.649170066,0.654033807,,0.682924573,0.764480567,0.764194417,,0.630498097,0.730893332,0.736764891,,0.599560557,0.702809332,0.70657706,,0.632693587,0.734425748,0.740591126
19000,0.731259858,0.752110823,0.756496973,,0.623822946,0.64956126,0.654329418,,0.683558385,0.763426927,0.76300125,,0.630648732,0.730959481,0.736859409,,0.599540318,0.703631514,0.707434209,,0.632211528,0.735448069,0.740466071
20000,0.73250668,0.747600227,0.751774219,,0.624679207,0.650936912,0.655672015,,0.68409647,0.759018725,0.758368314,,0.630641465,0.730626972,0.736508716,,0.600530019,0.703452302,0.707206857,,0.63630543,0.738855743,0.742656303
21000,0.734830782,0.749213064,0.753378544,,0.626268357,0.650702381,0.655484803,,0.68454497,0.763484074,0.762920414,,0.630143655,0.730417765,0.736155442,,0.600173068,0.703191679,0.707011901,,0.640497233,0.743018735,0.745770502
22000,0.735387176,0.753091409,0.757129007,,0.627214851,0.652694116,0.65739073,,0.685356905,0.764489976,0.763823799,,0.630658515,0.731028582,0.736814806,,0.601181615,0.704415432,0.708240416,,0.647197798,0.74802465,0.749796124
23000,0.73792772,0.755798406,0.759837051,,0.628398403,0.653457361,0.658075084,,0.687172084,0.764096544,0.763427019,,0.630563355,0.730380213,0.736149393,,0.601149537,0.704630204,0.708505141,,0.655097373,0.755772024,0.757286516
24000,0.738895201,0.757488787,0.761278696,,0.629420565,0.651830743,0.656585463,,0.688588516,0.764642677,0.763950466,,0.631123158,0.731254143,0.737047388,,0.602083894,0.70461346,0.708521295,,0.664065884,0.763277685,0.765276772
25000,0.740743932,0.755837835,0.759707552,,0.631236022,0.655617364,0.660092059,,0.688556067,0.766030292,0.765187806,,0.631619375,0.730373878,0.736126725,,0.60215082,0.703472168,0.707419008,,0.672550469,0.767617739,0.769985716
